# "Cod.dat" produced by dat_write() from ADMButils; Wed Jan 27 18:50:30 2010
# Adding TotFIC, TotC in thous mt, FIC = both spring and fall surveys 

# Nsp 
 1 

# nFIC 
 2 

# Fyr 
 1978 

# Lyr 
 2007 

# Nage 
 10 

# nMseg 
 1 

# nseg 
 1 

# AgePartRect 
 1 

# AgeFullRect 
 4 

# Survey_AgeFullRect 
 3 

# FICs_lage 
 1 

# M1yr 
 1978 

# TCwt 
 150 

# CPwt 
 50 

# Bwt 
 1e+15 

# Ywt 
 1e-12 

# Rwt 
 0 

# Bthres 
 1e-05 

# Rthres 
 1 

# TSwt 
 0 75 

# SPwt 
 0 50 

# iM2 
 0 0 0 0 0 0 0 0 0 0 

# fic_fage 
 1 1 

# fic_lage 
 10 10 

# FICmonth 
 4 10 

# FICyr 
0.017 0.199 0.403 0.8 0.91 0.156 0.142 0.028 0.007 0.003
0.05 0.069 0.434 0.26 0.314 0.253 0.058 0.049 0.012 0.005
0.012 0.355 0.199 0.577 0.144 0.106 0.085 0.018 0.009 0.004
0.031 0.067 0.827 0.207 0.365 0.071 0.031 0.028 0.004 0.003
0.011 0.526 0.395 1.176 0.072 0.129 0.016 0.01 0.009 0.001

# TotFIC1 
 9.001 4.894 7.572 10.138 32.79 7.621 4.078 6.784 4.951 3.236 5.689 4.794 4.747 4.12 2.67 2.286 0.916 2.81 2.699 2.013 4.343 2.081 3.517 1.863 2.065 1.975 5.381 1.9014 3.1588 3.3724 

# TotFIC2 
 8.196 5.835 2.627 8.778 2.976 2.854 4.55 1.305 2.912 2.122 2.52 4.589 4.624 0.917 1.689 1.971 1.751 3.457 1.08 0.86 1.798 0.946 1.29 1.017 4.469 0.921 2.502 0.972 1.341 0.515 

# M1seg 
 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 

# SurveyCatch_1 
0.372 0.192 5.531 0.972 0.778 0.142 0.712 0.065 0.141 0.096
0.428 1.298 0.275 1.852 0.547 0.236 0.084 0.139 0.013 0.022
0.031 2.217 2.69 0.212 1.705 0.374 0.186 0.031 0.03 0.096
2.302 1.852 2.811 1.685 0.106 0.879 0.258 0.132 0 0.113
0.508 5.435 9.502 8.324 6.208 0.293 1.866 0.369 0.082 0.203
0.332 1.952 3.017 0.796 0.697 0.443 0.027 0.219 0 0.138
0.402 0.431 0.761 1.238 0.422 0.4 0.209 0 0.215 0
0.111 2.653 0.663 1.11 1.412 0.265 0.192 0.18 0.037 0.161
0.872 0.409 1.844 0.365 0.54 0.618 0.062 0.125 0.101 0.015
0.02 1.613 0.378 0.763 0.062 0.179 0.136 0.033 0.027 0.025
0.72 0.609 3.15 0.409 0.644 0.064 0.037 0.049 0 0.007
0.31 1.41 0.666 1.583 0.235 0.351 0.051 0.04 0.055 0.093
0.173 0.922 1.737 0.674 0.912 0.13 0.143 0.013 0.016 0.027
1.027 0.528 0.689 0.929 0.479 0.328 0.054 0.041 0 0.045
0.123 1.252 0.468 0.168 0.273 0.142 0.159 0.02 0.037 0.028
0.009 0.399 1.306 0.205 0.09 0.138 0.029 0.034 0.021 0.055
0.125 0.272 0.2 0.217 0.033 0.006 0.044 0 0.019 0
0.05 0.382 0.854 0.534 0.599 0.107 0.234 0.028 0.022 0
0.073 0.214 0.736 1.247 0.174 0.209 0.028 0.018 0 0
0.291 0.437 0.17 0.489 0.422 0.05 0.134 0.02 0 0
0.111 0.665 1.298 0.848 0.755 0.533 0.102 0.031 0 0
0.212 0.291 0.609 0.51 0.238 0.119 0.064 0.031 0.007 0
0.221 0.807 0.83 1.141 0.37 0.102 0.026 0.02 0 0
0.061 0.235 0.794 0.16 0.383 0.177 0.023 0.018 0.012 0
0.065 0.093 0.383 0.993 0.239 0.225 0.039 0 0 0.028
0.016 0.213 0.271 0.623 0.696 0.064 0.08 0.012 0 0
0.637 0.058 0.579 1.407 1.354 0.893 0.179 0.261 0.013 0
0.0119 0.4838 0.1378 0.631 0.2744 0.2053 0.1274 0.0298 0 0
0.1786 0.231 1.3059 0.3319 0.7234 0.2128 0.1213 0.0539 0 0
0.125 0.639 0.3756 1.7937 0.1809 0.2092 0.0309 0.0181 0 0

# SurveyCatch_2 
1.845 0.391 4.058 0.964 0.336 0.165 0.343 0.05 0.03 0.014
1.625 1.677 0.162 1.687 0.321 0.184 0.031 0.113 0.01 0.025
0.82 0.564 0.774 0.053 0.265 0.057 0.067 0.027 0 0
